,BTC-USD-Daily
0,8864.44
1,9243.85
2,9458.1
3,8920.16
4,9247.43
5,9176.05
6,9452.56
7,9303.52
8,8984.62
9,9112.2
10,9213.31
11,9624.38
12,9811.99
13,9659.33
14,9376.24
15,9372.82
16,9088.69
17,9322.81
18,9003.08
19,8252.8
20,8447.13
21,8422.63
22,8771.8
23,8247.4
24,8377.04
25,8053.8
26,8254.03
27,8277.47
28,8500.56
29,8357.88
30,7974.42
31,7704.68
32,7636.52
33,7457.9
34,7326.04
35,7232.68
36,7132.14
37,7547.04
38,7549.99
39,7556.43
40,7501.66
41,7656.1
42,7622.28
43,7436.43
44,7638.11
45,7711.17
46,7652.63
47,7675.77
48,7337.87
49,6778.59
50,6877.72
51,6600.79
52,6519.79
53,6615.55
54,6515.33
55,6562.72
56,6488.37
57,6712.75
58,6658.06
59,6773.49
60,6659.2
61,6078.86
62,5893.52
63,6171.12
64,6241.11
65,6090.15
66,6117.9
67,5905.97
68,6430.12
69,6377.34
70,6341.27
71,6658.22
72,6497.39
73,6685.24
74,6559.07
75,6639.77
76,6837.42
77,6768.26
78,6685.89
79,6368.71
80,6229.81
81,6256.71
82,6229.23
83,6294.14
84,6383.29
85,6687.88
86,7438.13
87,7345.14
88,7377.84
89,7344.44
90,7398.14
91,7674.75
92,7994.39
93,8292.35
94,8181.75
