,Close
0,300.0
242,370.0
484,370.0
726,370.0
968,370.0
1210,370.0
1452,377.0
1694,377.0
1936,378.0
2178,378.0
2420,378.0
2662,378.0
2904,378.0
3146,378.0
3388,378.0
3630,378.0
3872,377.01
4114,360.0
4356,304.49
4598,289.25
4840,289.25
5082,289.25
5324,260.0
5566,260.0
5808,260.0
6050,260.0
6292,260.0
6534,200.0
6776,219.63
7018,113.06
7260,126.72
7502,185.91
7744,120.0
7986,120.0
8228,150.0
8470,150.0
8712,150.0
8954,150.0
9196,224.0
9438,209.18
9680,189.0
9922,189.0
10164,189.0
10406,189.0
10648,203.05
10890,199.46
11132,210.0
11374,210.0
11616,210.0
11858,210.0
12100,210.0
12342,225.51
12584,225.51
12826,225.51
13068,225.51
13310,225.51
13552,225.51
13794,225.51
14036,225.51
14278,225.51
14520,208.0
14762,218.0
15004,224.0
15246,224.0
15488,224.0
15730,224.0
15972,224.0
16214,225.51
16456,246.62
16698,226.32
16940,226.32
17182,226.32
17424,226.32
17666,226.32
17908,226.32
18150,226.32
18392,226.32
18634,226.32
18876,235.0
19118,215.0
19360,216.0
19602,216.0
19844,216.0
20086,216.0
20328,250.58
20570,240.0
20812,250.91
21054,250.49
21296,245.82
21538,249.01
21780,249.8
22022,263.82
22264,283.28
22506,300.0
22748,302.21
22990,276.0
23232,268.0
23474,258.79
23716,259.35
23958,258.5
24200,260.0
24442,265.5
24684,260.3
24926,265.18
25168,258.0
25410,261.29
25652,253.99
25894,253.53
26136,234.08
26378,235.1
26620,232.85
26862,230.7
27104,224.9
27346,230.01
27588,233.38
27830,236.12
28072,242.78
28314,234.79
28556,234.24
28798,229.2
29040,229.81
29282,229.0
29524,228.2
29766,234.38
30008,232.0
30250,230.3
30492,225.97
30734,219.0
30976,218.53
31218,213.0
31460,213.94
31702,222.93
31944,230.5
32186,228.69
32428,223.21
32670,225.02
32912,227.08
33154,226.06
33396,227.24
33638,238.63
33880,238.09
34122,240.62
34364,241.66
34606,233.26
34848,229.39
35090,229.22
35332,226.71
35574,224.96
35816,224.11
36058,224.89
36300,226.29
36542,228.0
36784,224.2
37026,225.11
37268,224.62
37510,217.87
37752,217.47
37994,220.06
38236,219.34
38478,218.38
38720,222.68
38962,224.51
39204,222.74
39446,225.3
39688,224.49
39930,229.47
40172,225.11
40414,228.02
40656,228.7
40898,228.45
41140,225.81
41382,229.0
41624,221.43
41866,223.56
42108,224.05
42350,225.0
42592,223.54
42834,221.15
43076,220.14
43318,219.89
43560,221.48
43802,221.13
44044,216.8
44286,216.57
44528,218.26
44770,220.46
45012,221.08
45254,222.9
45496,221.1
45738,222.0
45980,221.74
46222,218.7
46464,218.94
46706,219.11
46948,218.38
47190,219.74
47432,220.99
47674,222.37
47916,223.0
48158,224.18
48400,231.28
48642,235.87
48884,239.0
49126,238.0
49368,238.75
49610,240.98
49852,249.08
50094,244.24
50336,247.87
50578,256.14
50820,257.95
51062,257.69
51304,260.04
51546,253.07
51788,243.6
52030,234.04
52272,233.4
52514,231.54
52756,236.81
52998,232.32
53240,236.58
53482,238.69
53724,234.55
53966,235.94
54208,238.78
54450,239.89
54692,246.0
54934,241.3
55176,244.8
55418,244.97
55660,241.39
55902,242.25
56144,238.3
56386,234.24
56628,237.36
56870,237.79
57112,237.06
57354,237.84
57596,241.59
57838,241.66
58080,240.47
58322,244.55
58564,246.67
58806,245.15
59048,242.96
59290,245.12
59532,245.71
59774,246.5
60016,245.0
60258,245.0
60500,244.75
60742,245.48
60984,246.6
61226,246.55
61468,246.04
61710,238.0
61952,237.0
62194,236.25
62436,237.9
62678,237.83
62920,235.97
63162,236.44
63404,238.06
63646,240.96
63888,240.03
64130,238.73
64372,237.71
64614,238.96
64856,239.59
65098,239.88
65340,240.1
65582,238.46
65824,237.1
66066,238.45
66308,238.76
66550,238.38
66792,234.55
67034,236.87
67276,237.22
67518,237.4
67760,237.8
68002,237.1
68244,237.86
68486,253.04
68728,251.6
68970,253.96
69212,257.63
69454,254.99
69696,252.17
69938,252.52
70180,253.31
70422,253.62
70664,253.85
70906,255.83
71148,254.64
71390,254.73
71632,254.33
71874,248.89
72116,248.31
72358,260.7
72600,262.13
72842,261.93
73084,260.7
73326,265.0
73568,271.75
73810,277.0
74052,276.0
74294,276.1
74536,269.22
74778,268.75
75020,284.14
75262,283.39
75504,278.2
75746,278.92
75988,278.94
76230,283.64
76472,279.68
76714,274.24
76956,271.13
77198,271.3
77440,267.54
77682,264.08
77924,269.32
78166,277.76
78408,275.72
78650,271.99
78892,271.02
79134,272.86
79376,273.62
79618,273.9
79860,273.0
80102,272.19
80344,272.74
