,bitcoin
0,135.3
1,141.96
2,135.3
3,117.0
4,103.43
5,91.01
6,111.25
7,116.79
8,118.33
9,106.4
10,112.64
11,113.0
12,118.78
13,113.01
14,114.713
15,117.18
16,114.5
17,114.156
18,115.5
19,123.1
20,123.88
21,120.501
22,122.58
23,122.9
24,123.0
25,125.748
26,131.7
27,130.77
28,134.6
29,128.985
30,129.179
31,132.13
32,127.401
33,127.98
34,129.09
35,121.3
36,121.16
37,121.309
38,121.714
39,119.0
40,110.09
41,108.401
42,99.7497
43,105.99
44,108.9
45,108.4
46,102.769
47,98.399
48,99.99
49,100.42
50,102.0
51,106.55
52,107.9
53,110.91
54,109.015
55,107.25
56,108.0
57,102.443
58,103.691
59,103.39
60,99.66
61,93.3311
62,95.3886
63,97.504
64,89.489
65,90.797
66,78.8
67,78.48
68,67.809
69,68.0831
70,77.502
71,76.3915
72,77.0
73,85.75
74,93.804
75,88.0622
76,95.58
77,94.0
78,97.301
79,98.9796
80,97.8
81,88.7869
82,91.572
83,89.28
84,90.3672
85,91.7024
86,94.5806
87,94.525
88,96.9499
89,94.13
90,94.005
91,98.5759
92,101.5
93,110.34
94,106.23
95,101.61
96,103.7
97,104.86
98,106.56
99,105.841
100,106.75
101,105.232
102,103.958
103,103.692
104,103.48
105,104.4
106,106.89
107,110.55
108,111.701
109,108.65
110,109.0
111,112.17
112,117.879
113,120.2
114,120.0
115,121.9
116,121.18
117,119.0
118,120.5
119,121.8
120,122.3
121,126.36
122,122.5
123,121.68
124,133.17
125,137.08
126,136.65
127,135.3
128,136.45
129,127.28
130,125.79
131,121.18
132,123.46
133,120.85
134,127.25
135,123.44
136,134.51
137,136.31
138,132.62
139,128.62
140,130.55
141,126.57
142,130.73
143,131.05
144,129.75
145,127.47
146,127.31
147,128.39
148,126.39
149,128.84
150,128.92
151,130.18
152,134.69
153,138.5
154,134.48
155,133.99
156,131.61
157,121.59
158,125.93
159,129.07
160,128.78
161,129.46
162,126.11
163,127.37
164,131.09
165,130.18
166,133.14
167,134.55
168,140.03
169,139.63
170,151.76
171,144.13
172,146.52
173,163.2
174,173.14
175,178.19
176,192.69
177,195.01
178,190.36
179,185.65
180,185.26
181,182.28
182,195.8
183,200.01
184,202.32
185,201.27
186,203.73
187,207.12
188,205.02
189,216.48
190,230.43
191,256.82
192,294.21
193,319.81
194,353.33
195,315.76
196,332.41
197,361.3
198,374.95
199,408.52
200,427.99
201,441.28
202,468.66
203,558.49
204,674.71
205,482.59
206,620.39
207,731.15
208,808.91
209,776.96
210,791.59
211,909.0
212,983.78
213,1031.2
214,1149.14
215,1122.87
216,997.84
217,1030.64
218,1077.12
219,1127.12
220,1002.91
221,765.32
222,694.46
223,837.82
224,921.78
225,957.82
226,852.89
227,906.15
228,892.83
229,850.15
230,868.93
231,669.11
232,644.05
233,560.15
234,711.94
235,638.3
236,609.69
237,645.14
238,671.42
239,654.72
240,693.91
241,736.34
242,729.8
243,719.49
244,752.77
245,747.72
246,769.08
247,771.15
248,802.1
249,809.9
250,864.09
251,975.83
252,919.1
253,857.55
254,840.98
255,836.11
256,908.02
257,863.47
258,835.11
259,836.54
260,863.15
261,853.01
262,824.34
263,838.31
264,833.7
265,865.46
266,867.22
267,846.28
268,828.5
269,802.45
270,850.35
271,890.5
272,803.34
273,813.91
274,825.36
275,819.49
276,823.08
277,842.05
278,829.58
279,819.19
280,831.17
281,821.49
282,783.21
283,725.92
284,687.32
285,692.4
286,668.35
287,638.18
288,654.09
289,563.37
290,644.56
291,658.47
292,616.22
293,641.65
294,625.32
295,625.23
296,549.26
297,567.5
298,613.72
299,578.54
300,497.98
301,563.52
302,581.48
303,571.31
304,558.21
305,561.03
306,573.53
307,662.1
308,663.72
309,662.5
310,655.21
311,621.94
312,622.39
313,639.21
314,630.67
315,635.66
316,639.84
317,633.27
318,631.85
319,634.47
320,622.31
321,616.987
322,616.973
323,603.703
324,600.589
325,565.677
326,567.012
327,556.214
328,573.041
329,584.442
330,522.284
331,491.286
332,485.565
333,476.496
334,458.605
335,481.448
336,427.184
337,436.883
338,452.016
339,464.402
340,455.561
341,453.189
342,454.672
343,427.748
344,381.885
345,438.115
346,424.927
347,409.46
348,455.373
349,515.641
350,519.52
351,493.836
352,471.864
353,504.638
354,507.807
355,498.687
356,490.975
357,488.405
358,456.307
359,451.657
360,455.845
361,425.696
362,447.438
363,446.294
364,450.762
365,445.525
366,440.957
367,433.529
368,429.981
369,430.926
370,440.211
371,441.514
372,450.369
373,451.272
374,433.401
375,441.282
376,439.853
377,444.368
378,448.209
379,448.52
380,447.912
381,447.122
382,445.06
383,483.302
384,492.126
385,516.295
386,523.193
387,555.32
388,586.827
389,584.793
390,575.617
391,566.67
392,569.327
393,617.077
394,648.41
395,623.169
396,657.145
397,639.06
398,645.998
399,657.275
400,652.765
401,657.53
402,647.333
403,657.994
404,650.166
405,636.624
406,610.96
407,584.821
408,559.434
409,599.72
410,596.463
411,612.4
412,610.083
413,589.439
414,591.765
415,604.541
416,593.671
417,594.267
418,571.571
419,573.299
420,584.93
421,600.891
422,626.494
423,654.42
424,645.444
425,645.18
426,631.675
427,634.794
428,622.017
429,624.45
430,614.266
431,629.174
432,628.546
433,629.067
434,619.951
435,623.815
436,616.682
437,620.055
438,620.928
439,628.086
440,625.016
441,620.445
442,621.996
443,622.907
444,601.158
445,601.76
446,597.815
447,597.576
448,582.346
449,583.662
450,576.811
451,585.466
452,597.118
453,589.081
454,586.593
455,589.73
456,586.449
457,586.662
458,589.683
459,593.09
460,589.511
461,590.392
462,580.499
463,569.529
464,539.68
465,516.599
466,493.484
467,506.347
468,492.127
469,460.031
470,477.45
471,504.065
472,525.04
473,517.643
474,501.235
475,511.395
476,502.386
477,511.836
478,512.218
479,508.083
480,510.361
481,504.556
482,475.192
483,481.846
484,482.651
485,477.171
486,488.176
487,484.695
488,487.596
489,485.551
490,479.012
491,472.043
492,484.654
493,474.61
494,476.119
495,480.77
496,477.706
497,476.807
498,469.813
499,453.857
500,425.231
501,398.955
502,412.868
503,402.317
504,402.175
505,434.903
506,428.889
507,410.605
508,404.686
509,398.393
510,381.14
511,381.27
512,384.025
513,384.461
514,376.265
515,358.614
516,328.078
517,321.4
518,326.921
519,333.213
520,357.081
521,371.211
522,362.101
523,361.012
524,372.683
525,404.963
526,398.12
527,393.288
528,383.645
529,381.085
530,392.849
531,383.055
532,384.58
533,386.883
534,372.734
535,359.324
536,353.778
537,353.119
538,352.45
539,357.405
540,357.237
541,339.989
542,345.474
543,329.199
544,324.968
545,330.595
546,326.202
547,336.67
548,340.384
549,347.635
550,343.492
551,349.135
552,359.944
553,367.833
554,378.629
555,438.286
556,384.976
557,395.159
558,386.854
559,409.747
560,383.823
561,383.492
562,364.929
563,353.103
564,358.654
565,357.059
566,374.572
567,393.176
568,369.096
569,372.335
570,363.23
571,378.912
572,381.015
573,379.968
574,380.975
575,376.298
576,375.683
577,372.943
578,374.454
579,374.862
580,366.659
581,350.734
582,350.037
583,356.597
584,346.567
585,351.142
586,345.42
587,333.954
588,321.417
589,311.418
590,316.632
591,328.891
592,322.022
593,333.14
594,334.25
595,318.075
596,317.811
597,324.885
598,316.561
599,319.854
600,314.022
601,310.6
602,317.848
603,313.639
604,314.87
605,281.246
606,266.723
607,274.168
608,283.238
609,293.754
610,282.507
611,277.861
612,274.705
613,267.988
614,244.566
615,207.809
616,204.946
617,218.091
618,197.244
619,210.52
620,208.277
621,209.398
622,213.693
623,230.925
624,226.646
625,232.926
626,246.348
627,299.413
628,258.223
629,262.191
630,230.433
631,232.815
632,232.025
633,212.725
634,224.714
635,239.545
636,223.529
637,225.924
638,218.892
639,228.917
640,227.457
641,222.527
642,216.425
643,220.585
644,219.139
645,234.847
