Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
1417411980,300.0,300.0,300.0,300.0,0.01,3.0,300.0
1417426380,370.0,370.0,370.0,370.0,0.02655554,9.825549800000001,370.0
1417440780,370.0,370.0,370.0,370.0,0.02655554,9.825549800000001,370.0
1417455180,370.0,370.0,370.0,370.0,0.02655554,9.825549800000001,370.0
1417469580,370.0,370.0,370.0,370.0,0.02655554,9.825549800000001,370.0
1417483980,370.0,370.0,370.0,370.0,0.02655554,9.825549800000001,370.0
1417498380,377.0,377.0,377.0,377.0,0.01,3.77,377.0
1417512780,377.0,377.0,377.0,377.0,0.01,3.77,377.0
1417527180,378.0,378.0,378.0,378.0,5.2,1965.6,378.0
1417541580,378.0,378.0,378.0,378.0,5.2,1965.6,378.0
1417555980,378.0,378.0,378.0,378.0,0.01,3.78,378.0
1417570380,378.0,378.0,378.0,378.0,0.01,3.78,378.0
1417584780,378.0,378.0,378.0,378.0,0.01,3.78,378.0
1417599180,378.0,378.0,378.0,378.0,0.01052422,3.97815516,378.0
1417613580,378.0,378.0,378.0,378.0,0.01052422,3.97815516,378.0
1417627980,378.0,378.0,378.0,378.0,0.01052422,3.97815516,378.0
1417642380,377.01,377.01,377.01,377.01,0.1,37.701,377.01
1417656780,378.0,378.0,378.0,378.0,0.01,3.78,378.0
1420692360,294.02,299.61,294.02,299.61,0.03,8.888,296.26666667
1420706760,289.25,289.25,289.25,289.25,0.01,2.8925,289.25
1420721160,289.25,289.25,289.25,289.25,0.01,2.8925,289.25
1420735560,289.25,289.25,289.25,289.25,0.01,2.8925,289.25
1421121840,260.0,260.0,260.0,260.0,1.0,260.0,260.0
1421136240,260.0,260.0,260.0,260.0,1.0,260.0,260.0
1421150640,260.0,260.0,260.0,260.0,1.0,260.0,260.0
1421165040,260.0,260.0,260.0,260.0,1.0,260.0,260.0
1421179440,260.0,260.0,260.0,260.0,1.0,260.0,260.0
1421193840,200.0,200.0,200.0,200.0,0.01,2.0,200.0
1421208240,219.63,219.63,219.63,219.63,0.01,2.1963,219.63
1421222640,204.0,204.0,199.0,199.0,0.05,10.08,201.6
1421237040,134.02,195.04,134.02,195.04,0.03,5.0152,167.17333333
1421251440,142.78,196.32,126.74,196.32,0.03,4.6584,155.28
1421265840,170.0,170.0,120.0,120.0,0.06,8.7,145.0
1421280240,170.0,170.0,120.0,120.0,0.06,8.7,145.0
1421294640,191.99,192.0,191.99,192.0,1.13000002,216.95870384,191.99884956
1421309040,150.0,150.0,150.0,150.0,0.0262,3.93,150.0
1421323440,150.0,150.0,150.0,150.0,0.0262,3.93,150.0
1421337840,150.0,150.0,150.0,150.0,0.0262,3.93,150.0
1421352240,150.0,150.0,150.0,150.0,0.0262,3.93,150.0
1421366640,207.92,207.92,207.92,207.92,0.01,2.0792,207.92
1421381040,189.0,189.0,189.0,189.0,0.01,1.89,189.0
1421395440,189.0,189.0,189.0,189.0,0.01,1.89,189.0
1421409840,189.0,189.0,189.0,189.0,0.01,1.89,189.0
1421424240,189.0,189.0,189.0,189.0,0.01,1.89,189.0
1421438640,189.0,189.0,189.0,189.0,0.01,1.89,189.0
1421453040,203.69,203.69,199.46,199.46,0.02,4.0315,201.575
1421467440,210.0,210.0,210.0,210.0,0.023,4.83,210.0
1421481840,210.0,210.0,210.0,210.0,0.023,4.83,210.0
1421496240,210.0,210.0,210.0,210.0,0.023,4.83,210.0
1421510640,210.0,210.0,210.0,210.0,0.023,4.83,210.0
1421633220,210.0,210.0,210.0,210.0,0.2,42.0,210.0
1421647620,225.51,225.51,225.51,225.51,0.01,2.2551,225.51
1421662020,225.51,225.51,225.51,225.51,0.01,2.2551,225.51
1421676420,225.51,225.51,225.51,225.51,0.01,2.2551,225.51
1421690820,225.51,225.51,225.51,225.51,0.01,2.2551,225.51
1421705220,225.51,225.51,225.51,225.51,0.01,2.2551,225.51
1421719620,225.51,225.51,225.51,225.51,0.01,2.2551,225.51
1421734020,225.51,225.51,225.51,225.51,0.01,2.2551,225.51
1421748420,225.51,225.51,225.51,225.51,0.01,2.2551,225.51
1421762820,225.51,225.51,225.51,225.51,0.01,2.2551,225.51
1421777220,225.51,225.51,225.51,225.51,0.01,2.2551,225.51
1421791620,208.0,208.0,208.0,208.0,0.01,2.08,208.0
1421806020,224.0,224.0,224.0,224.0,0.004,0.8959999999999999,224.0
1421820420,224.0,224.0,224.0,224.0,0.004,0.8959999999999999,224.0
1421834820,224.0,224.0,224.0,224.0,0.004,0.8959999999999999,224.0
1421849220,224.0,224.0,224.0,224.0,0.004,0.8959999999999999,224.0
1421863620,224.0,224.0,224.0,224.0,0.004,0.8959999999999999,224.0
1421878020,224.0,224.0,224.0,224.0,0.004,0.8959999999999999,224.0
1421892420,230.93,230.93,221.45,221.45,0.02,4.5238,226.19
1421906820,226.32,226.32,226.32,226.32,0.01,2.2632,226.32
1421921220,226.32,226.32,226.32,226.32,0.01,2.2632,226.32
1421935620,226.32,226.32,226.32,226.32,0.01,2.2632,226.32
1421950020,226.32,226.32,226.32,226.32,0.01,2.2632,226.32
1421964420,226.32,226.32,226.32,226.32,0.01,2.2632,226.32
1421978820,226.32,226.32,226.32,226.32,0.01,2.2632,226.32
1421993220,226.32,226.32,226.32,226.32,0.01,2.2632,226.32
1422007620,226.32,226.32,226.32,226.32,0.01,2.2632,226.32
1422022020,226.32,226.32,226.32,226.32,0.01,2.2632,226.32
1422036420,215.0,215.0,215.0,215.0,0.01,2.15,215.0
1422050820,235.0,235.0,235.0,235.0,0.05,11.75,235.0
1422065220,216.0,216.0,216.0,216.0,0.01,2.16,216.0
1422079620,216.0,216.0,216.0,216.0,0.01,2.16,216.0
1422094020,216.0,216.0,216.0,216.0,0.01,2.16,216.0
1422108420,216.0,216.0,216.0,216.0,0.01,2.16,216.0
1422122820,241.0,241.0,241.0,241.0,0.01,2.41,241.0
1422137220,250.58,250.58,250.58,250.58,0.5,125.29,250.58
1422151620,253.55,253.55,253.55,253.55,0.055,13.94525,253.55
1422166020,250.91,250.91,250.91,250.91,0.1,25.090999999999998,250.91
1422180420,248.11,248.25,248.11,248.25,4.72,1171.291266,248.15492924
1422194820,245.82,245.82,245.82,245.82,0.6026,148.131132,245.82
